X,Y,Z,Normal_X,Normal_Y,Normal_Z,Feed_Rate,Is_Rapid
-122.923383,10.238106,16.315861,-0.228222,0.549505,-0.803716,50.00,False
-121.552165,12.006939,17.798787,0.046021,0.998868,0.012061,50.00,False
-122.549615,10.067395,19.714602,-0.153469,0.374556,0.914415,50.00,False
-122.643713,12.440163,16.506705,-0.172288,0.585670,0.792027,50.00,False
-122.518194,12.781916,13.660710,-0.147184,0.654021,0.742020,50.00,False
-122.469009,13.545881,10.227749,-0.137347,0.806814,0.574619,50.00,False
-122.528493,13.633117,6.754028,-0.149244,0.904694,0.399066,50.00,False
-122.515165,13.965218,3.104160,-0.146579,0.971115,0.188284,50.00,False
-122.597484,11.601643,-1.466713,-0.163042,0.964724,-0.206699,50.00,False
-122.712609,13.979183,-4.907579,-0.186068,0.907878,-0.375680,50.00,False
-121.763115,12.450140,-9.617306,0.003831,0.602070,-0.798434,50.00,False
-121.993709,12.481481,-12.183845,-0.042287,0.608338,-0.792551,50.00,False
-121.738108,11.415451,-15.409959,0.008833,0.395132,-0.918582,50.00,False
-121.932262,10.014698,-18.377580,-0.029998,0.114981,-0.992915,50.00,False
-121.534364,14.123458,-15.839026,0.049581,0.998192,0.033988,50.00,False
-122.719003,10.392752,-13.776374,-0.187346,0.179740,0.965710,50.00,False
-122.814845,11.934445,-16.454782,-0.206515,0.237348,0.949220,50.00,False
-122.946821,12.535017,-19.274741,-0.232910,0.357462,0.904419,50.00,False
-122.917755,13.156217,-22.166339,-0.227097,0.483643,0.845291,50.00,False
-122.600658,12.881985,-25.356792,-0.163677,0.667506,0.726392,50.00,False
-122.595591,12.389566,-28.945977,-0.162664,0.833681,0.527746,50.00,False
-126.643537,5.718839,-33.296841,-0.972253,0.153226,0.176765,50.00,False
-122.147309,13.151780,-38.129343,-0.073007,0.959935,-0.270544,50.00,False
-122.185907,13.191963,-42.574431,-0.080727,0.763813,-0.640370,50.00,False
-122.276296,13.123922,-45.742130,-0.098805,0.648566,-0.754718,50.00,False
-121.971199,12.352230,-49.026567,-0.037785,0.449632,-0.892414,50.00,False
-122.135380,12.919307,-51.851023,-0.070622,0.339050,-0.938114,50.00,False
-122.135380,12.919307,-54.446980,-0.070622,0.339050,-0.938114,50.00,False
-121.984992,12.827640,-57.083904,-0.040544,0.320717,-0.946307,50.00,False
